STT,Team,Median of Age,Mean of Age,Std of Age,Median of Matches Played,Mean of Matches Played,Std of Matches Played,Median of Starts,Mean of Starts,Std of Starts,Median of Minutes,Mean of Minutes,Std of Minutes,Median of Non-Penalty Goals,Mean of Non-Penalty Goals,Std of Non-Penalty Goals,Median of Penalties Made,Mean of Penalties Made,Std of Penalties Made,Median of Assists,Mean of Assists,Std of Assists,Median of Yellow Cards,Mean of Yellow Cards,Std of Yellow Cards,Median of Red Cards,Mean of Red Cards,Std of Red Cards,Median of xG,Mean of xG,Std of xG,Median of npxG,Mean of npxG,Std of npxG,Median of xAG,Mean of xAG,Std of xAG,Median of PrgC,Mean of PrgC,Std of PrgC,Median of PrgP,Mean of PrgP,Std of PrgP,Median of PrgR,Mean of PrgR,Std of PrgR,Median of Gls/90,Mean of Gls/90,Std of Gls/90,Median of Ast/90,Mean of Ast/90,Std of Ast/90,Median of G+A/90,Mean of G+A/90,Std of G+A/90,Median of G-PK/90,Mean of G-PK/90,Std of G-PK/90,Median of G+A-PK/90,Mean of G+A-PK/90,Std of G+A-PK/90,Median of xG/90,Mean of xG/90,Std of xG/90,Median of xAG/90,Mean of xAG/90,Std of xAG/90,Median of xG+xAG/90,Mean of xG+xAG/90,Std of xG+xAG/90,Median of npxG/90,Mean of npxG/90,Std of npxG/90,Median of npxG+xAG/90,Mean of npxG+xAG/90,Std of npxG+xAG/90,Median of Goalkeeping_GA,Mean of Goalkeeping_GA,Std of Goalkeeping_GA,Median of GGoalkeeping_GA90,Mean of GGoalkeeping_GA90,Std of GGoalkeeping_GA90,Median of Goalkeeping_SoTA,Mean of Goalkeeping_SoTA,Std of Goalkeeping_SoTA,Median of Goalkeeping_Saves,Mean of Goalkeeping_Saves,Std of Goalkeeping_Saves,Median of Goalkeeping_Save%,Mean of Goalkeeping_Save%,Std of Goalkeeping_Save%,Median of Goalkeeping_W,Mean of Goalkeeping_W,Std of Goalkeeping_W,Median of Goalkeeping_D,Mean of Goalkeeping_D,Std of Goalkeeping_D,Median of Goalkeeping_L,Mean of Goalkeeping_L,Std of Goalkeeping_L,Median of Goalkeeping_CS,Mean of Goalkeeping_CS,Std of Goalkeeping_CS,Median of Goalkeeping_CS%,Mean of Goalkeeping_CS%,Std of Goalkeeping_CS%,Median of Goalkeeping_PKatt,Mean of Goalkeeping_PKatt,Std of Goalkeeping_PKatt,Median of Goalkeeping_PKA,Mean of Goalkeeping_PKA,Std of Goalkeeping_PKA,Median of Goalkeeping_Pksv,Mean of Goalkeeping_Pksv,Std of Goalkeeping_Pksv,Median of Goalkeeping_PKm,Mean of Goalkeeping_PKm,Std of Goalkeeping_PKm,Median of Goalkeeping_Save%.1,Mean of Goalkeeping_Save%.1,Std of Goalkeeping_Save%.1,Median of Shooting_Gls,Mean of Shooting_Gls,Std of Shooting_Gls,Median of Shooting_Sh,Mean of Shooting_Sh,Std of Shooting_Sh,Median of Shooting_SoT,Mean of Shooting_SoT,Std of Shooting_SoT,Median of Shooting_SoT%,Mean of Shooting_SoT%,Std of Shooting_SoT%,Median of Shooting_Sh/90,Mean of Shooting_Sh/90,Std of Shooting_Sh/90,Median of Shooting_SoT/90,Mean of Shooting_SoT/90,Std of Shooting_SoT/90,Median of Shooting_G/Sh,Mean of Shooting_G/Sh,Std of Shooting_G/Sh,Median of Shooting_G/SoT,Mean of Shooting_G/SoT,Std of Shooting_G/SoT,Median of Shooting_Dist,Mean of Shooting_Dist,Std of Shooting_Dist,Median of Shooting_FK,Mean of Shooting_FK,Std of Shooting_FK,Median of Shooting_PK,Mean of Shooting_PK,Std of Shooting_PK,Median of Shooting_PKatt,Mean of Shooting_PKatt,Std of Shooting_PKatt,Median of Shooting_xG,Mean of Shooting_xG,Std of Shooting_xG,Median of Shooting_npxG,Mean of Shooting_npxG,Std of Shooting_npxG,Median of Shooting_npxG/Sh,Mean of Shooting_npxG/Sh,Std of Shooting_npxG/Sh,Median of Shooting_G-xG,Mean of Shooting_G-xG,Std of Shooting_G-xG,Median of Shooting_np:G-xG,Mean of Shooting_np:G-xG,Std of Shooting_np:G-xG,Median of Passing_Cmp,Mean of Passing_Cmp,Std of Passing_Cmp,Median of Passing_Att,Mean of Passing_Att,Std of Passing_Att,Median of Passing_Cmp%,Mean of Passing_Cmp%,Std of Passing_Cmp%,Median of Passing_ToDist,Mean of Passing_ToDist,Std of Passing_ToDist,Median of Passing_PrgDist,Mean of Passing_PrgDist,Std of Passing_PrgDist,Median of Passing_Short_Cmp,Mean of Passing_Short_Cmp,Std of Passing_Short_Cmp,Median of Passing_Short_Att,Mean of Passing_Short_Att,Std of Passing_Short_Att,Median of Passing_Short_Cmp%,Mean of Passing_Short_Cmp%,Std of Passing_Short_Cmp%,Median of Passing_Med_Cmp,Mean of Passing_Med_Cmp,Std of Passing_Med_Cmp,Median of Passing_Med_Att,Mean of Passing_Med_Att,Std of Passing_Med_Att,Median of Passing_Med_Cmp%,Mean of Passing_Med_Cmp%,Std of Passing_Med_Cmp%,Median of Passing_Long_Cmp,Mean of Passing_Long_Cmp,Std of Passing_Long_Cmp,Median of Passing_Long_Att,Mean of Passing_Long_Att,Std of Passing_Long_Att,Median of Passing_Long_Cmp%,Mean of Passing_Long_Cmp%,Std of Passing_Long_Cmp%,Median of Passing_Ast,Mean of Passing_Ast,Std of Passing_Ast,Median of Passing_xAG,Mean of Passing_xAG,Std of Passing_xAG,Median of Passing_xA,Mean of Passing_xA,Std of Passing_xA,Median of Passing_A-xAG,Mean of Passing_A-xAG,Std of Passing_A-xAG,Median of Passing_KP,Mean of Passing_KP,Std of Passing_KP,Median of Passing_1/3,Mean of Passing_1/3,Std of Passing_1/3,Median of Passing_PPA,Mean of Passing_PPA,Std of Passing_PPA,Median of Passing_CrsPA,Mean of Passing_CrsPA,Std of Passing_CrsPA,Median of Passing_PrgP,Mean of Passing_PrgP,Std of Passing_PrgP,Median of Pass_Types_Live,Mean of Pass_Types_Live,Std of Pass_Types_Live,Median of Pass_Types_Dead,Mean of Pass_Types_Dead,Std of Pass_Types_Dead,Median of Pass_Types_FK,Mean of Pass_Types_FK,Std of Pass_Types_FK,Median of Pass_Types_TB,Mean of Pass_Types_TB,Std of Pass_Types_TB,Median of Pass_Types_Sw,Mean of Pass_Types_Sw,Std of Pass_Types_Sw,Median of Pass_Types_Crs,Mean of Pass_Types_Crs,Std of Pass_Types_Crs,Median of Pass_Types_TI,Mean of Pass_Types_TI,Std of Pass_Types_TI,Median of Pass_Types_CK,Mean of Pass_Types_CK,Std of Pass_Types_CK,Median of Pass_Types_In,Mean of Pass_Types_In,Std of Pass_Types_In,Median of Pass_Types_Out,Mean of Pass_Types_Out,Std of Pass_Types_Out,Median of Pass_Types_Str,Mean of Pass_Types_Str,Std of Pass_Types_Str,Median of Pass_Types_Gmp,Mean of Pass_Types_Gmp,Std of Pass_Types_Gmp,Median of Pass_Types_Off,Mean of Pass_Types_Off,Std of Pass_Types_Off,Median of Pass_Types_Blocks,Mean of Pass_Types_Blocks,Std of Pass_Types_Blocks,Median of GSCreation_SCA,Mean of GSCreation_SCA,Std of GSCreation_SCA,Median of GSCreation_SCA90,Mean of GSCreation_SCA90,Std of GSCreation_SCA90,Median of GGSCreation_SCA_PassLive,Mean of GGSCreation_SCA_PassLive,Std of GGSCreation_SCA_PassLive,Median of GSCreation_SCA_PassDead,Mean of GSCreation_SCA_PassDead,Std of GSCreation_SCA_PassDead,Median of GSCreation_SCA_TO,Mean of GSCreation_SCA_TO,Std of GSCreation_SCA_TO,Median of GSCreation_SCA_Sh,Mean of GSCreation_SCA_Sh,Std of GSCreation_SCA_Sh,Median of GSCreation_SCA_Fld,Mean of GSCreation_SCA_Fld,Std of GSCreation_SCA_Fld,Median of GSCreation_SCA_Def,Mean of GSCreation_SCA_Def,Std of GSCreation_SCA_Def,Median of GSCreation_GCA,Mean of GSCreation_GCA,Std of GSCreation_GCA,Median of GSCreation_GCA90,Mean of GSCreation_GCA90,Std of GSCreation_GCA90,Median of GSCreation_GCA_PassLive,Mean of GSCreation_GCA_PassLive,Std of GSCreation_GCA_PassLive,Median of GSCreation_GCA_PassDead,Mean of GSCreation_GCA_PassDead,Std of GSCreation_GCA_PassDead,Median of GSCreation_GCA_TO,Mean of GSCreation_GCA_TO,Std of GSCreation_GCA_TO,Median of GSCreation_GCA_Sh,Mean of GSCreation_GCA_Sh,Std of GSCreation_GCA_Sh,Median of GSCreation_GCA_Fld,Mean of GSCreation_GCA_Fld,Std of GSCreation_GCA_Fld,Median of GSCreation_GCA_Def,Mean of GSCreation_GCA_Def,Std of GSCreation_GCA_Def,Median of DActions_Tkl,Mean of DActions_Tkl,Std of DActions_Tkl,Median of DActions_TklW,Mean of DActions_TklW,Std of DActions_TklW,Median of DActions_Def3rd,Mean of DActions_Def3rd,Std of DActions_Def3rd,Median of DActions_Mid3rd,Mean of DActions_Mid3rd,Std of DActions_Mid3rd,Median of DActions_Att3rd,Mean of DActions_Att3rd,Std of DActions_Att3rd,Median of DActions_Challenges_Tkl,Mean of DActions_Challenges_Tkl,Std of DActions_Challenges_Tkl,Median of DActions_Challenges_Att,Mean of DActions_Challenges_Att,Std of DActions_Challenges_Att,Median of DActions_Challenges_Tkl%,Mean of DActions_Challenges_Tkl%,Std of DActions_Challenges_Tkl%,Median of DActions_Challenges_Lost,Mean of DActions_Challenges_Lost,Std of DActions_Challenges_Lost,Median of DActions_Blocks,Mean of DActions_Blocks,Std of DActions_Blocks,Median of DActions_Blocks_Sh,Mean of DActions_Blocks_Sh,Std of DActions_Blocks_Sh,Median of DActions_Blocks_Pass,Mean of DActions_Blocks_Pass,Std of DActions_Blocks_Pass,Median of DActions_Int,Mean of DActions_Int,Std of DActions_Int,Median of DActions_Tkl+Int,Mean of DActions_Tkl+Int,Std of DActions_Tkl+Int,Median of DActions_Clr,Mean of DActions_Clr,Std of DActions_Clr,Median of DActions_Err,Mean of DActions_Err,Std of DActions_Err,Median of Possession_Touches,Mean of Possession_Touches,Std of Possession_Touches,Median of Possession_Def Pen,Mean of Possession_Def Pen,Std of Possession_Def Pen,Median of Possession_Def 3rd,Mean of Possession_Def 3rd,Std of Possession_Def 3rd,Median of Possession_Mid 3rd,Mean of Possession_Mid 3rd,Std of Possession_Mid 3rd,Median of Possession_Att 3rd,Mean of Possession_Att 3rd,Std of Possession_Att 3rd,Median of Possession_Att Pen,Mean of Possession_Att Pen,Std of Possession_Att Pen,Median of Possession_Live,Mean of Possession_Live,Std of Possession_Live,Median of Possession_Att,Mean of Possession_Att,Std of Possession_Att,Median of Possession_Succ,Mean of Possession_Succ,Std of Possession_Succ,Median of Possession_Succ%,Mean of Possession_Succ%,Std of Possession_Succ%,Median of Possession_Tkld,Mean of Possession_Tkld,Std of Possession_Tkld,Median of Possession_Tkld%,Mean of Possession_Tkld%,Std of Possession_Tkld%,Median of Possession_Carries,Mean of Possession_Carries,Std of Possession_Carries,Median of Possession_TotDist,Mean of Possession_TotDist,Std of Possession_TotDist,Median of Possession_PrgDist,Mean of Possession_PrgDist,Std of Possession_PrgDist,Median of Possession_PrgC,Mean of Possession_PrgC,Std of Possession_PrgC,Median of Possession_1/3,Mean of Possession_1/3,Std of Possession_1/3,Median of Possession_CPA,Mean of Possession_CPA,Std of Possession_CPA,Median of Possession_Mis,Mean of Possession_Mis,Std of Possession_Mis,Median of Possession_Dis,Mean of Possession_Dis,Std of Possession_Dis,Median of Possession_Rec,Mean of Possession_Rec,Std of Possession_Rec,Median of Possession_PrgR,Mean of Possession_PrgR,Std of Possession_PrgR,Median of PTime_Starts,Mean of PTime_Starts,Std of PTime_Starts,Median of PTime_Mn/Start,Mean of PTime_Mn/Start,Std of PTime_Mn/Start,Median of PTime_Compl,Mean of PTime_Compl,Std of PTime_Compl,Median of PTime_Subs,Mean of PTime_Subs,Std of PTime_Subs,Median of PTime_Mn/Sub,Mean of PTime_Mn/Sub,Std of PTime_Mn/Sub,Median of PTime_unSub,Mean of PTime_unSub,Std of PTime_unSub,Median of PTime_PPM,Mean of PTime_PPM,Std of PTime_PPM,Median of PTime_onG,Mean of PTime_onG,Std of PTime_onG,Median of PTime_onGA,Mean of PTime_onGA,Std of PTime_onGA,Median of PTime_onxG,Mean of PTime_onxG,Std of PTime_onxG,Median of PTime_onxGA,Mean of PTime_onxGA,Std of PTime_onxGA,Median of MStats_Fls,Mean of MStats_Fls,Std of MStats_Fls,Median of MStats_Fld,Mean of MStats_Fld,Std of MStats_Fld,Median of MStats_Off,Mean of MStats_Off,Std of MStats_Off,Median of MStats_Crs,Mean of MStats_Crs,Std of MStats_Crs,Median of MStats_OG,Mean of MStats_OG,Std of MStats_OG,Median of MStats_Recov,Mean of MStats_Recov,Std of MStats_Recov,Median of MStats_Won,Mean of MStats_Won,Std of MStats_Won,Median of MStats_Lost,Mean of MStats_Lost,Std of MStats_Lost,Median of MStats_Won%,Mean of MStats_Won%,Std of MStats_Won%
0,all,25.0,25.51,4.13,23.0,22.61,10.17,16.0,16.91,11.18,439.0,491.25,270.37,1.0,2.22,3.35,0.0,0.19,0.84,1.0,1.73,2.47,2.5,3.31,2.84,0.0,0.12,0.34,1.1,2.43,3.57,1.1,2.26,3.11,1.0,1.75,2.19,17.0,28.79,32.3,44.0,59.21,57.58,30.0,58.53,71.18,0.07,0.14,0.19,0.05,0.1,0.14,0.15,0.24,0.27,0.07,0.13,0.18,0.15,0.23,0.25,0.08,0.15,0.18,0.07,0.1,0.11,0.17,0.25,0.24,0.08,0.14,0.17,0.17,0.25,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Arsenal,24.0,24.76,2.55,27.0,26.81,10.19,18.0,19.86,13.09,540.0,587.57,295.43,2.0,3.62,3.98,0.0,0.48,1.36,2.0,2.95,3.14,2.0,2.95,2.77,0.0,0.1,0.3,1.6,3.71,4.29,1.6,3.34,3.6,1.4,2.66,3.07,17.0,38.95,42.67,72.0,99.62,94.1,37.0,98.86,130.5,0.12,0.18,0.19,0.17,0.16,0.15,0.25,0.35,0.28,0.12,0.16,0.18,0.25,0.32,0.24,0.12,0.2,0.18,0.13,0.14,0.13,0.24,0.34,0.27,0.12,0.18,0.17,0.24,0.32,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Aston Villa,26.0,25.96,3.55,27.0,24.17,11.11,20.0,18.13,12.39,440.0,455.62,300.39,2.0,2.96,4.34,0.0,0.17,0.83,1.0,2.39,3.55,4.0,4.04,3.17,0.0,0.09,0.29,1.4,2.83,3.76,1.4,2.69,3.66,1.0,2.14,2.71,32.0,33.3,29.3,55.0,62.87,56.02,33.0,62.39,74.14,0.11,0.2,0.26,0.08,0.12,0.16,0.21,0.32,0.32,0.11,0.2,0.26,0.21,0.32,0.32,0.1,0.16,0.16,0.09,0.1,0.1,0.21,0.26,0.21,0.1,0.16,0.16,0.21,0.26,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bournemouth,24.5,25.04,3.54,25.5,22.08,11.85,13.0,16.04,12.73,305.0,323.3,203.19,0.5,1.92,3.73,0.0,0.08,0.39,1.0,1.5,1.5,3.0,3.0,2.94,0.0,0.12,0.33,1.15,2.19,3.91,1.15,2.1,3.49,1.1,1.57,1.6,22.0,27.04,26.18,43.5,50.04,45.89,27.5,49.5,59.09,0.02,0.14,0.22,0.08,0.11,0.12,0.15,0.25,0.29,0.02,0.14,0.21,0.15,0.25,0.29,0.06,0.19,0.3,0.08,0.11,0.1,0.15,0.3,0.37,0.06,0.19,0.3,0.15,0.3,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Brentford,26.0,25.8,3.59,26.0,22.96,10.35,15.0,16.72,10.88,544.5,510.0,266.82,1.0,2.04,2.68,0.0,0.12,0.6,1.0,1.52,1.5,3.0,3.56,2.74,0.0,0.08,0.28,1.2,2.4,2.96,1.2,2.31,2.74,1.5,1.72,1.4,16.0,19.64,17.14,40.0,51.04,40.02,32.0,50.12,51.44,0.08,0.14,0.17,0.09,0.11,0.12,0.15,0.25,0.25,0.08,0.14,0.16,0.15,0.25,0.24,0.07,0.15,0.15,0.11,0.11,0.07,0.19,0.26,0.19,0.07,0.15,0.14,0.19,0.25,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Brighton,23.5,24.79,5.7,20.0,20.93,8.75,15.0,14.89,8.6,554.0,587.36,248.29,0.0,1.61,2.04,0.0,0.18,0.77,1.0,1.29,2.05,3.0,3.14,2.21,0.0,0.11,0.31,1.0,2.07,2.63,1.0,1.9,2.08,0.9,1.5,1.69,21.0,30.82,31.55,43.0,63.5,67.58,41.0,63.04,74.22,0.0,0.12,0.16,0.04,0.09,0.11,0.22,0.21,0.19,0.0,0.11,0.15,0.22,0.2,0.18,0.08,0.14,0.15,0.1,0.11,0.09,0.23,0.25,0.2,0.08,0.13,0.14,0.23,0.24,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Burnley,24.0,24.07,3.84,16.0,20.39,9.35,14.0,14.93,10.01,558.0,565.08,316.41,1.0,1.32,1.7,0.0,0.11,0.31,1.0,1.07,1.18,2.0,2.75,2.93,0.0,0.25,0.44,0.55,1.46,1.72,0.55,1.38,1.56,0.8,1.06,1.01,15.0,25.75,26.49,34.5,42.04,41.42,25.0,41.36,42.52,0.04,0.09,0.12,0.06,0.06,0.06,0.09,0.14,0.15,0.04,0.08,0.11,0.09,0.14,0.14,0.06,0.11,0.12,0.06,0.07,0.06,0.12,0.18,0.15,0.06,0.1,0.11,0.12,0.17,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Chelsea,22.0,23.0,3.91,23.0,21.88,9.4,18.0,16.72,11.07,419.0,440.89,258.6,1.0,2.6,3.86,0.0,0.44,1.8,1.0,2.04,2.72,3.0,4.32,3.38,0.0,0.16,0.47,1.1,3.02,4.99,1.1,2.64,4.19,1.2,2.08,2.53,22.0,34.88,37.54,46.0,64.44,63.63,35.0,63.8,71.86,0.09,0.18,0.22,0.08,0.12,0.14,0.2,0.3,0.29,0.08,0.16,0.19,0.16,0.28,0.26,0.08,0.18,0.19,0.08,0.12,0.11,0.27,0.29,0.25,0.08,0.16,0.17,0.27,0.28,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Crystal Palace,25.5,25.17,4.28,22.5,22.46,9.48,17.5,17.42,10.99,233.5,337.83,294.43,0.0,2.17,3.86,0.0,0.17,0.48,1.0,1.79,2.11,2.5,3.04,2.6,0.0,0.08,0.28,0.6,2.05,2.98,0.6,1.92,2.68,1.0,1.61,1.71,14.5,21.08,21.16,40.5,48.96,38.63,17.5,48.38,58.32,0.0,0.11,0.21,0.04,0.1,0.13,0.08,0.21,0.3,0.0,0.1,0.19,0.08,0.2,0.28,0.04,0.12,0.14,0.07,0.1,0.11,0.12,0.21,0.22,0.04,0.11,0.13,0.12,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Everton,26.0,26.35,4.86,28.0,23.3,11.56,23.0,18.17,13.72,439.0,427.67,281.59,1.0,1.65,1.87,0.0,0.09,0.42,0.0,0.74,1.45,2.0,3.57,3.15,0.0,0.04,0.21,1.5,2.44,3.13,1.5,2.34,2.86,1.0,1.72,1.98,14.0,21.52,21.62,38.0,49.09,41.5,39.0,48.65,46.2,0.09,0.11,0.12,0.0,0.03,0.06,0.09,0.14,0.13,0.09,0.1,0.11,0.09,0.13,0.12,0.11,0.2,0.27,0.1,0.11,0.08,0.2,0.31,0.29,0.11,0.2,0.26,0.2,0.31,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
