Player,Team,Cost
Ederson,Man City,€43.2M
Scott Carson,Man City,€0.1M
Stefan Ortega,Man City,€1.8M
Josh Wilson-Esbrand,Man City,€4.5M
Kyle Walker,Man City,€18.8M
Rico Lewis,Man City,€44.6M
John Stones,Man City,€26M
Josko Gvardiol,Man City,€60.2M
Manuel Akanji,Man City,€49.7M
Nathan Aké,Man City,€23M
Rúben Dias,Man City,€68.7M
Matheus Nunes,Man City,€19.4M
James McAtee,Man City,€8.6M
Phil Foden,Man City,€116.2M
İlkay Gündoğan,Man City,€16.1M
Kevin De Bruyne,Man City,€30.8M
Jack Grealish,Man City,€35.7M
Bernardo Silva,Man City,€59.4M
Mateo Kovacic,Man City,€29.2M
Rodri,Man City,€100.4M
Oscar Bobb,Man City,€8M
Erling Haaland,Man City,€155.8M
Jérémy Doku,Man City,€46.4M
Savinho,Man City,€49.9M
Neto,Arsenal,€2.9M
David Raya,Arsenal,€35.5M
Karl Hein,Arsenal,€0.5M
Ben White,Arsenal,€53.8M
Jakub Kiwior,Arsenal,€17M
Kieran Tierney,Arsenal,€19.8M
Takehiro Tomiyasu,Arsenal,€14.5M
Gabriel Magalhães,Arsenal,€53.3M
Jurrien Timber,Arsenal,€43.7M
Riccardo Calafiori,Arsenal,€36.5M
William Saliba,Arsenal,€79.5M
Oleksandr Zinchenko,Arsenal,€27.7M
James Lannin-Sweet,Arsenal,
Mikel Merino,Arsenal,€27.8M
Martin Ødegaard,Arsenal,€69.9M
Declan Rice,Arsenal,€68.3M
Jorginho,Arsenal,€5.7M
Thomas Partey,Arsenal,€4.7M
Eddie Nketiah,Arsenal,€27.7M
Gabriel Jesus,Arsenal,€51M
Kai Havertz,Arsenal,€94.6M
Gabriel Martinelli,Arsenal,€61.7M
Raheem Sterling,Arsenal,€44.6M
Bukayo Saka,Arsenal,€127.5M
Leandro Trossard,Arsenal,€23.8M
Caoimhín Kelleher,Liverpool,€9.5M
Vitezslav Jaros,Liverpool,€0.1M
Alisson,Liverpool,€27.5M
Andrew Robertson,Liverpool,€32.5M
Jarell Quansah,Liverpool,€11.3M
Joe Gomez,Liverpool,€21.2M
Konstantinos Tsimikas,Liverpool,€6.3M
Trent Alexander-Arnold,Liverpool,€26.4M
Ibrahima Konaté,Liverpool,€27.4M
Virgil van Dijk,Liverpool,€19M
Conor Bradley,Liverpool,€9.5M
Curtis Jones,Liverpool,€18M
Wataru Endo,Liverpool,€13.6M
Dominik Szoboszlai,Liverpool,€51.8M
Harvey Elliott,Liverpool,€30.9M
Ryan Gravenberch,Liverpool,€46.2M
Alexis Mac Allister,Liverpool,€54.9M
Darwin Núñez,Liverpool,€50M
Diogo Jota,Liverpool,€35.4M
Luis Díaz,Liverpool,€50.7M
Mohamed Salah,Liverpool,€27.9M
Cody Gakpo,Liverpool,€44M
Federico Chiesa,Liverpool,€25.6M
Emiliano Martínez,Aston Villa,€34.2M
Robin Olsen,Aston Villa,€0.6M
Joe Gauci,Aston Villa,€0.9M
Kortney Hause,Aston Villa,€0.7M
Kosta Nedeljkovic,Aston Villa,€6.6M
Lucas Digne,Aston Villa,€7.4M
Matty Cash,Aston Villa,€20.9M
Ian Maatsen,Aston Villa,€49.2M
Tyrone Mings,Aston Villa,€14M
Diego Carlos,Aston Villa,€4.6M
Ezri Konsa,Aston Villa,€39.7M
Pau Torres,Aston Villa,€38M
Boubacar Kamara,Aston Villa,€31M
John McGinn,Aston Villa,€41.4M
Amadou Onana,Aston Villa,€49.3M
Jacob Ramsey,Aston Villa,€25.5M
Ross Barkley,Aston Villa,€2.7M
Youri Tielemans,Aston Villa,€33M
Emiliano Buendía,Aston Villa,€8.5M
Morgan Rogers,Aston Villa,€19.2M
Jhon Durán,Aston Villa,€31.6M
Ollie Watkins,Aston Villa,€60M
Leon Bailey,Aston Villa,€28.6M
Jaden Philogene,Aston Villa,€14.4M
